sampleId,subclass,textDescription,expected_applicable,demo_note
AUG-NOISE-001,noise,"hello hello, nice to meet you",false,"Greeting text with no meaningful content"
AUG-NOISE-002,noise,"test test test test test",false,"Highly repetitive text with no information"
AUG-NOISE-003,noise,"INFO: application started successfully",false,"Log message without vulnerability context"
AUG-NOISE-004,noise,"today is a beautiful day outside",false,"Random sentence with no security relevance"
AUG-NOISE-005,noise,"lorem ipsum dolor sit amet consectetur adipiscing elit",false,"Lorem ipsum placeholder text"
AUG-NOISE-006,noise,"DEBUG: processing request with id 12345",false,"Debug log entry, no security information"
AUG-NOISE-007,noise,"thank you very much for your time",false,"Polite conversation, not vulnerability-related"
AUG-NOISE-008,noise,"error error error error error",false,"Repeated error keyword without context"
AUG-NOISE-009,noise,"exception in thread main java lang nullpointerexception",false,"Stack trace fragment without exploit details"
AUG-NOISE-010,noise,"random words in a sentence format",false,"Generic text with no meaningful structure"
AUG-KW-001,keyword_only,"TODAY IS A GOOD DAY XSS",false,"Security keyword without exploit/impact context"
AUG-KW-002,keyword_only,"this is a test for sql injection",false,"Keyword mentioned but no vulnerability description"
AUG-KW-003,keyword_only,"checking rce functionality",false,"Keyword-only reference without attack scenario"
AUG-KW-004,keyword_only,"working on csrf implementation",false,"Technical term without vulnerability context"
AUG-KW-005,keyword_only,"discussing buffer overflow in meeting",false,"Keyword in discussion context, not a vulnerability report"
AUG-KW-006,keyword_only,"learning about command injection concepts",false,"Educational reference, not a security issue"
AUG-KW-007,keyword_only,"reading documentation about path traversal",false,"Documentation reference without exploit details"
AUG-KW-008,keyword_only,"planning xxe feature development",false,"Feature planning with keyword, no vulnerability"
AUG-KW-009,keyword_only,"considering ssrf as option",false,"Keyword in design context, not a security report"
AUG-KW-010,keyword_only,"introduction to privilege escalation",false,"Educational title without vulnerability description"
AUG-PATCH-001,patch_mitigation,"Fix: Prevent command injection by sanitizing user input. Added input validation to block malicious payloads and escape special characters.",false,"Patch description, not vulnerability disclosure"
AUG-PATCH-002,patch_mitigation,"Security: Implemented CSRF token validation to prevent cross-site request forgery attacks. All state-changing requests now require valid tokens.",false,"Security hardening measure, not a vulnerability"
AUG-PATCH-003,patch_mitigation,"Patch: Added output encoding to mitigate XSS vulnerabilities. User-generated content is now properly escaped before rendering in HTML.",false,"Mitigation implementation, defensive measure"
AUG-PATCH-004,patch_mitigation,"Hotfix: Escaped SQL queries using parameterized statements to prevent SQL injection. Database interactions now use prepared statements exclusively.",false,"Security fix description, not a vulnerability report"
AUG-PATCH-005,patch_mitigation,"Fix: Validated file upload paths to prevent directory traversal. Added path normalization and whitelist validation for allowed directories.",false,"Path validation fix, defensive coding"
AUG-PATCH-006,patch_mitigation,"Security: Hardened session management to prevent session fixation. Implemented session regeneration on authentication and secure cookie flags.",false,"Session security improvement, not a vulnerability"
AUG-PATCH-007,patch_mitigation,"Patch: Added rate limiting to prevent brute force attacks. Login attempts are now throttled after multiple failed authentication requests.",false,"Rate limiting implementation, defensive measure"
AUG-PATCH-008,patch_mitigation,"Fix: Sanitized XML input to prevent XXE attacks. Disabled external entity processing and restricted XML parser configuration.",false,"XML security hardening, mitigation measure"
AUG-PATCH-009,patch_mitigation,"Security: Implemented input whitelist validation to block malicious payloads. Only predefined safe values are accepted for critical parameters.",false,"Input validation enhancement, security improvement"
AUG-PATCH-010,patch_mitigation,"Hotfix: Added output sanitization to prevent stored XSS. User content is escaped and validated before being stored in the database.",false,"XSS prevention measure, defensive coding"


